endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt
space,54.4844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,15.4985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.7028,NAN,,NAN,,0,52,52,52,1,53,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_27.jpeg,did not like,4.940433059,,,,,,,,,,,,
,,,,,,space,0.5254,NAN,,NAN,,0,53,53,53,1,54,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_28.jpeg,liked,2.7105123,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.5338,0,0,0,0,1,0.7869,,
,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_26.jpeg,did not like,3.602308302,,,,,,,,,,,,
,,,,,,space,0.4077,NAN,,NAN,,0,55,55,55,1,56,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_14.jpeg,did not like,4.106391878,,,,,,,,,,,,
,,,,,,space,0.4435,NAN,,NAN,,0,56,56,56,1,57,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_24.jpeg,did not like,3.799433026,,,,,,,,,,,,
,,,,,,space,0.9122,NAN,,NAN,,0,57,57,57,1,58,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_18.jpeg,liked,5.246980764,,,,,,,,,,,,
,,,,,,space,0.5442,NAN,,NAN,,0,58,58,58,1,59,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_7.jpeg,did not like,3.30081769,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.503,0,0,0,0,1,1.4167,,
,,,,,,,,1,,3,,0,59,59,59,1,60,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_23.jpeg,did not like,1.661473164,,,,,,,,,,,,
,,,,space,3.5331,space,0.4775,NAN,,NAN,,0,60,60,60,1,61,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_9.jpeg,did not like,3.613205605,,,,,,,,,,,,
,,,,,,space,4.8893,NAN,,NAN,,0,61,61,61,1,62,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_1.jpeg,liked,4.988446431,,,,,,,,,,,,
,,,,,,space,0.7013,NAN,,NAN,,0,62,62,62,1,63,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_26.jpeg,liked,3.470791822,,,,,,,,,,,,
,,,,,,space,1.218,NAN,,NAN,,0,63,63,63,1,64,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_2.jpeg,liked,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,4.3372,0,0,0,0,1,1.417,,
,,,,,,,,NAN,,NAN,,0,64,64,64,1,65,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_25.jpeg,did not like,2.455989137,,,,,,,,,,,,
,,,,,,space,0.6268,NAN,,NAN,,0,65,65,65,1,66,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_4.jpeg,liked,3.79605092,,,,,,,,,,,,
,,,,,,space,0.5893,NAN,,NAN,,0,66,66,66,1,67,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_28.jpeg,did not like,3.562416326,,,,,,,,,,,,
,,,,,,space,0.3771,NAN,,NAN,,0,67,67,67,1,68,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_10.jpeg,did not like,2.843822497,,,,,,,,,,,,
,,,,,,space,0.6506,NAN,,NAN,,0,68,68,68,1,69,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_5.jpeg,did not like,3.546495948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.3671,0,0,0,0,1,1.3395,,
,,,,,,,,NAN,,NAN,,0,69,69,69,1,70,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_23.jpeg,did not like,1.672012706,,,,,,,,,,,,
,,,,,,space,0.3599,NAN,,NAN,,0,70,70,70,1,71,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_29.jpeg,liked,4.942172136,,,,,,,,,,,,
,,,,,,space,1.6429,NAN,,NAN,,0,71,71,71,1,72,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_3.jpeg,did not like,2.50187214,,,,,,,,,,,,
,,,,,,space,1.3142,NAN,,NAN,,0,72,72,72,1,73,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_7.jpeg,did not like,2.071164779,,,,,,,,,,,,
,,,,,,space,0.5576,NAN,,NAN,,0,73,73,73,1,74,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_13.jpeg,liked,5.336503566,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.9112,0,0,0,0,1,1.4133,,
,,,,,,,,NAN,,NAN,,0,74,74,74,1,75,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_22.jpeg,did not like,2.642157193,,,,,,,,,,,,
,,,,,,space,0.7271,NAN,,NAN,,0,75,75,75,1,76,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_11.jpeg,did not like,4.456234322,,,,,,,,,,,,
,,,,,,space,0.6648,NAN,,NAN,,0,76,76,76,1,77,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_27.jpeg,did not like,4.438512181,,,,,,,,,,,,
,,,,,,space,0.8775,NAN,,NAN,,0,77,77,77,1,78,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_8.jpeg,did not like,2.682944783,,,,,,,,,,,,
,,,,,,space,0.5006,NAN,,NAN,,0,78,78,78,1,79,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_12.jpeg,did not like,4.51984296,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.5982,0,0,0,0,1,1.233,,
,,,,,,,,NAN,,NAN,,0,79,79,79,1,80,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_30.jpeg,did not like,3.195382774,,,,,,,,,,,,
,,,,,,space,0.6431,NAN,,NAN,,0,80,80,80,1,81,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_18.jpeg,did not like,1.779333479,,,,,,,,,,,,
,,,,,,space,1.1835,NAN,,NAN,,0,81,81,81,1,82,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_21.jpeg,did not like,4.312468682,,,,,,,,,,,,
,,,,,,space,0.5495,NAN,,NAN,,0,82,82,82,1,83,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_15.jpeg,liked,4.940433059,,,,,,,,,,,,
,,,,,,space,1.1693,NAN,,NAN,,0,83,83,83,1,84,Charlie,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_6.jpeg,did not like,2.7105123,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.96,0,0,0,0,1,0.6356,,
