PROLIFIC_ID,condition_recode,afterstresschange,salience_mean,stress_mean,recoded_stress,choice,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order
6112dccad39227e361c13866,2,1.0,3.0,4.5,4.5,0.5,-2.0,1,1.0833333333333333,2.0,22.0,0.0,12
6116f60ae8f48f7d1244e8d3,0,1.0,4.0,5.0,5.0,0.0,-0.5,1,0.8333333333333334,17.0,23.0,0.0,12
6116f60ae8f48f7d1244e8d3,1,1.0,2.0,5.0,5.0,0.18181818181818182,-0.5,1,0.9090909090909091,17.0,23.0,0.0,12
6116f60ae8f48f7d1244e8d3,2,1.0,3.5,5.5,5.5,0.08333333333333333,-0.5,1,0.5,17.0,23.0,0.0,12
612e6569f68929afb886fb5c,0,1.0,4.0,7.0,7.0,1.0,-3.0,1,1.1666666666666667,11.0,23.0,0.0,12
612e6569f68929afb886fb5c,1,1.0,1.0,2.5,2.5,1.0,-3.0,1,1.4545454545454546,11.0,23.0,0.0,12
612e6569f68929afb886fb5c,2,1.0,3.5,5.5,5.5,1.0,-3.0,1,1.25,11.0,23.0,0.0,12
61338374ecef87bfdfd1c7bb,0,0.0,3.0,6.0,4,0.0,1.0,0,1.3333333333333333,5.0,20.0,1.0,12
61338374ecef87bfdfd1c7bb,1,0.0,2.5,6.5,3.5,0.0,1.0,0,1.5555555555555556,5.0,20.0,1.0,12
61338374ecef87bfdfd1c7bb,2,0.0,2.5,7.5,2.5,0.0,1.0,0,2.111111111111111,5.0,20.0,1.0,12
6154a88b71a7f4347658b0f7,0,0.0,3.0,1.0,9,0.5,0.0,0,1.3333333333333333,3.0,20.0,0.0,12
6154a88b71a7f4347658b0f7,1,0.0,1.5,1.0,9,0.5833333333333334,0.0,0,1.3333333333333333,3.0,20.0,0.0,12
6154a88b71a7f4347658b0f7,2,0.0,4.0,1.0,9,0.5,0.0,0,1.6666666666666667,3.0,20.0,0.0,12
615a084387075364a7462335,0,1.0,1.0,2.0,2.0,0.0,-1.5,1,1.0,8.0,27.0,0.0,21
615a084387075364a7462335,1,1.0,1.5,2.5,2.5,0.0,-1.5,1,1.4545454545454546,8.0,27.0,0.0,21
615a084387075364a7462335,2,1.0,2.0,4.0,4.0,0.18181818181818182,-1.5,1,1.6363636363636365,8.0,27.0,0.0,21
