PROLIFIC_ID,trialnumber,choice,condition,feedback_words,condition_recode,feedbackvalue,aggregated_value
595727bd7c76640001aa8f6e,148.0,,Rej,liked,1,-1,-1.0
595727bd7c76640001aa8f6e,149.0,,Rej,did not like,1,1,-1.0
595727bd7c76640001aa8f6e,150.0,,Rej,did not like,1,1,-1.0
5a4636c92f91ec0001dcba07,1.0,999.0,Rej,liked,1,-1,1.0
5a4636c92f91ec0001dcba07,2.0,999.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,3.0,999.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,4.0,999.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,5.0,999.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,6.0,0.0,Rej,liked,1,-1,-1.0
5a4636c92f91ec0001dcba07,7.0,0.0,Rej,did not like,1,1,-1.0
5a4636c92f91ec0001dcba07,8.0,0.0,Rej,liked,1,-1,-1.0
5a4636c92f91ec0001dcba07,9.0,0.0,Rej,liked,1,-1,-1.0
5a4636c92f91ec0001dcba07,10.0,0.0,Rej,did not like,1,1,-1.0
5a4636c92f91ec0001dcba07,11.0,1.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,12.0,1.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,13.0,1.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,14.0,1.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,15.0,1.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,16.0,0.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,17.0,0.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,18.0,0.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,19.0,0.0,Rej,liked,1,-1,1.0
5a4636c92f91ec0001dcba07,20.0,0.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,21.0,0.0,Rej,did not like,1,1,-1.0
5a4636c92f91ec0001dcba07,22.0,0.0,Rej,did not like,1,1,-1.0
5a4636c92f91ec0001dcba07,23.0,0.0,Rej,liked,1,-1,-1.0
5a4636c92f91ec0001dcba07,24.0,0.0,Rej,liked,1,-1,-1.0
5a4636c92f91ec0001dcba07,25.0,0.0,Rej,liked,1,-1,-1.0
5a4636c92f91ec0001dcba07,26.0,0.0,Rej,did not like,1,1,1.0
5a4636c92f91ec0001dcba07,27.0,0.0,Rej,did not like,1,1,1.0
