sub_ID,Social Condition,condition_recode,afterstresschange,salience_mean,stress_mean,recoded_stress,Choice,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order
60fec21e36a05990cfa8a715,Acceptance,2,1,3,6.5,6.5,0,-1,1,0.090909091,1,26,0,21
60ff33eea57872b7188f12e2,Acceptance,2,1,3.5,5,5,0,-0.5,1,1,2,31,0,12
60ff830d7a7cce48e1787ba2,Acceptance,2,1,3,5,5,0.727272727,0,0,1,46,25,0,21
610024bfd6e1038ba3b1601d,Acceptance,2,0,4,1.5,8.5,1,0,0,1.083333333,4,30,0,12
6100652c5329da76a962cdb3,Acceptance,2,1,4,8,8,0.666666667,0,0,1.166666667,2,22,1,12
61006614d4c56450afce3a6b,Acceptance,2,0,3.5,3,7,0.666666667,0,0,1.333333333,3,30,0,12
61006f43a84b82fb439d7cba,Acceptance,2,1,3,9,9,0.727272727,0,0,0.545454545,9,26,0,21
610247cdbc9b348fd6601cb3,Acceptance,2,1,4,6,6,0.75,-1.5,1,1,17,24,0,12
610367ad785ce86ceb8d201c,Acceptance,2,1,3.5,6.5,6.5,0,-3,1,1.090909091,2,19,0,12
6107f902de5549cbdf72cbe1,Acceptance,2,1,3.5,7,7,0.363636364,0,0,1.090909091,17,25,0,12
61084dbab48ab21fce452554,Acceptance,2,1,2.5,3.5,3.5,0,-1.5,1,1.166666667,11,25,0,12
6112c911a83cc494df38b468,Acceptance,2,1,3,5.5,5.5,0.083333333,-0.5,1,1.5,2,28,0,12
6112dccad39227e361c13866,Acceptance,2,1,3,4.5,4.5,0.5,-2,1,1.083333333,2,22,0,12
6116f60ae8f48f7d1244e8d3,Acceptance,2,1,3.5,5.5,5.5,0.083333333,-0.5,1,0.5,17,23,0,12
612e6569f68929afb886fb5c,Acceptance,2,1,3.5,5.5,5.5,1,-3,1,1.25,11,23,0,12
61338374ecef87bfdfd1c7bb,Acceptance,2,0,2.5,7.5,2.5,0,1,0,2.111111111,5,20,1,12
6154a88b71a7f4347658b0f7,Acceptance,2,0,4,1,9,0.5,0,0,1.666666667,3,20,0,12
615a084387075364a7462335,Acceptance,2,1,2,4,4,0.181818182,-1.5,1,1.636363636,8,27,0,21
62a1ed3d1357f3e033ae44f9,Acceptance,2,1,3.5,6.5,6.5,0.454545455,-0.5,1,0.909090909,11,23,1,21
62a885d5b6af18b3d4579e1b,Acceptance,2,1,3,7,7,0,0,0,0.416666667,2,30,1,12
62fb84322433c8d7e890a145,Acceptance,2,1,4,5.5,5.5,0.090909091,-1.5,1,0.636363636,2,22,0,12
630386f64c5bbd56ab1c3b0f,Acceptance,2,0,3,8,2,1,-1,1,1.545454545,3,32,0,21
631f3abc8826b6e7e8982648,Acceptance,2,0,1.5,4.5,5.5,0.272727273,2.5,0,1.636363636,3,36,0,12
63235c5bf70d8e4f79b205cd,Acceptance,2,0,1.5,7,3,0,2.5,0,1.333333333,3,25,1,12
6346da55c3bf67b0dbf06272,Acceptance,2,1,3.5,7,7,0,-0.5,1,1.454545455,17,26,999,12
63ced670c8d001d1d5057140,Acceptance,2,1,4,7,7,1,-0.5,1,1.6,2,22,0,21
63d13e2a6dd3ec4a5f6bff7b,Acceptance,2,1,2.5,5,5,0,-0.5,1,0.416666667,2,32,1,21
63d3f98237a95683bfa381e3,Acceptance,2,1,2.5,4,4,0.363636364,-2.5,1,0.545454545,2,25,0,21
63d3f9d0ab6c170778b0d3d1,Acceptance,2,1,4.5,8.5,8.5,0,-0.5,1,0.333333333,1,21,0,12
63d4019999c9ab839156014c,Acceptance,2,1,2.5,8,8,1,0,0,0.333333333,17,19,0,12
63d40481d12fc9cc4c1adab0,Acceptance,2,1,2,2,2,0,-0.5,1,1.166666667,2,26,1,12
63d5bb0d1cc3800ad1e343dc,Acceptance,2,0,4,2.5,7.5,0.181818182,0,0,1,4,18,1,21
63d5e3bf4a739d1158b9ce64,Acceptance,2,1,3.5,5.5,5.5,0.272727273,-4.5,1,1,13,34,0,21
63d7c5cbacd85e95302f3a62,Acceptance,2,1,1,3.5,3.5,1,0,0,0.909090909,2,34,1,21
63d7ec164d40c184be89bf34,Acceptance,2,1,3.5,6,6,0,-2,1,0.75,2,32,0,12
63d7f2b15b4a5938642f3a7b,Acceptance,2,1,4,6,6,0,-4.5,1,1.090909091,43,32,0,21
63ddc6baab6a2130b8a41bf7,Acceptance,2,1,2.5,3.5,3.5,0,-1,1,0.333333333,4,30,1,12
63e51e528df11f83a1aacab8,Acceptance,2,0,3.5,4,6,0.5,1.5,0,1.2,3,27,1,21
