endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,8.8838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.6178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.5577,NAN,,NAN,,0,76,76,76,1,77,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_4.jpeg,did not like,4.438512181,,,,,,,,,,,,,,
,,,,,,space,0.5558,NAN,,NAN,,0,77,77,77,1,78,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_27.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
,,,,,,space,0.7207,NAN,,NAN,,0,78,78,78,1,79,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_14.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.6552,0,0,0,0,1,0.8439,h,0.3584,,
,,,,,,,,NAN,,NAN,,0,79,79,79,1,80,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_29.jpeg,liked,3.195382774,,,,,,,,,,,,,,
,,,,,,space,1.0877,NAN,,NAN,,0,80,80,80,1,81,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_6.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,space,0.6174,NAN,,NAN,,0,81,81,81,1,82,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_7.jpeg,liked,4.312468682,,,,,,,,,,,,,,
,,,,,,space,0.7668,NAN,,NAN,,0,82,82,82,1,83,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_20.jpeg,did not like,4.940433059,,,,,,,,,,,,,,
,,,,,,space,0.5326,NAN,,NAN,,0,83,83,83,1,84,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_16.jpeg,liked,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.9171,0,0,0,0,1,0.9306,h,0.6981,,
