PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,end_screen_keys.keys,end_screen_keys.rt
610367ad785ce86ceb8d201c,space,12.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,11.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,2.585,0,0,0,0,1,1.141,,
,,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_15.jpeg,liked,3.195382774,,,,,,,,,,,,
,,,,,,,space,0.539,NAN,,NAN,,0,50,50,50,1,51,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_18.jpeg,liked,1.779333479,,,,,,,,,,,,
,,,,,,,space,2.27,NAN,,NAN,,0,51,51,51,1,52,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_27.jpeg,liked,4.312468682,,,,,,,,,,,,
,,,,,,,space,0.81,NAN,,NAN,,0,52,52,52,1,53,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_14.jpeg,liked,4.940433059,,,,,,,,,,,,
,,,,,,,space,3.787,NAN,,NAN,,0,53,53,53,1,54,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_10.jpeg,did not like,2.7105123,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.785,0,0,0,0,1,1.313,,
,,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_23.jpeg,did not like,3.602308302,,,,,,,,,,,,
,,,,,,,space,2.254,NAN,,NAN,,0,55,55,55,1,56,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_25.jpeg,liked,4.106391878,,,,,,,,,,,,
,,,,,,,space,2.949,NAN,,NAN,,0,56,56,56,1,57,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_9.jpeg,liked,3.799433026,,,,,,,,,,,,
,,,,,,,space,0.717,NAN,,NAN,,0,57,57,57,1,58,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_6.jpeg,liked,5.246980764,,,,,,,,,,,,
,,,,,,,space,0.603,NAN,,NAN,,0,58,58,58,1,59,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_3.jpeg,liked,3.30081769,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,1.932,0,0,0,0,1,,,
,,,,,,,,,3,,6,,0,59,59,59,1,60,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_8.jpeg,liked,1.661473164,,,,,,,,,,,,
,,,,,space,2.539,space,1.605,NAN,,NAN,,0,60,60,60,1,61,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_14.jpeg,did not like,3.613205605,,,,,,,,,,,,
,,,,,,,space,0.006,NAN,,NAN,,0,61,61,61,1,62,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_11.jpeg,did not like,4.988446431,,,,,,,,,,,,
,,,,,,,space,1.816,NAN,,NAN,,0,62,62,62,1,63,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_8.jpeg,liked,3.470791822,,,,,,,,,,,,
,,,,,,,space,1.571,NAN,,NAN,,0,63,63,63,1,64,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_27.jpeg,did not like,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.003,0,0,0,0,1,1.383,,
,,,,,,,,,NAN,,NAN,,0,64,64,64,1,65,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_2.jpeg,liked,2.455989137,,,,,,,,,,,,
,,,,,,,space,5.402,NAN,,NAN,,0,65,65,65,1,66,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_24.jpeg,liked,3.79605092,,,,,,,,,,,,
,,,,,,,space,6.486,NAN,,NAN,,0,66,66,66,1,67,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_7.jpeg,liked,3.562416326,,,,,,,,,,,,
,,,,,,,space,2.333,NAN,,NAN,,0,67,67,67,1,68,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_4.jpeg,liked,2.843822497,,,,,,,,,,,,
,,,,,,,space,2.666,NAN,,NAN,,0,68,68,68,1,69,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_21.jpeg,liked,3.546495948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,space,1.284,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,69,69,69,1,70,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_22.jpeg,did not like,1.672012706,,,,,,,,,,,,
,,,,,,,space,2.641,NAN,,NAN,,0,70,70,70,1,71,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_16.jpeg,did not like,4.942172136,,,,,,,,,,,,
,,,,,,,space,1.584,NAN,,NAN,,0,71,71,71,1,72,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_28.jpeg,did not like,2.50187214,,,,,,,,,,,,
,,,,,,,space,4.472,NAN,,NAN,,0,72,72,72,1,73,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_1.jpeg,liked,2.071164779,,,,,,,,,,,,
,,,,,,,space,1.721,NAN,,NAN,,0,73,73,73,1,74,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_12.jpeg,did not like,5.336503566,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.28,0,0,0,0,1,1.335,,
,,,,,,,,,NAN,,NAN,,0,74,74,74,1,75,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_10.jpeg,did not like,2.642157193,,,,,,,,,,,,
,,,,,,,space,1.436,NAN,,NAN,,0,75,75,75,1,76,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_18.jpeg,did not like,4.456234322,,,,,,,,,,,,
,,,,,,,space,1.188,NAN,,NAN,,0,76,76,76,1,77,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_23.jpeg,liked,4.438512181,,,,,,,,,,,,
,,,,,,,space,4.004,NAN,,NAN,,0,77,77,77,1,78,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_29.jpeg,liked,2.682944783,,,,,,,,,,,,
,,,,,,,space,3.485,NAN,,NAN,,0,78,78,78,1,79,Sam,Neutral,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_15.jpeg,liked,4.51984296,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,2.568,0,0,0,0,1,1.258,,
