PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
6400d8ca785ee04d9b02ae9c,space,10.5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,6.5974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,space,2.6177,NAN,,NAN,,0,42,42,42,1,43,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_1.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,0.5293,NAN,,NAN,,0,43,43,43,1,44,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_7.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,1.0564,space,0.4489,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_30.jpeg,did not like,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,0.5861,NAN,,NAN,,0,45,45,45,1,46,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_6.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,0.4646,NAN,,NAN,,0,46,46,46,1,47,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_19.jpeg,did not like,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,0.2697,NAN,,NAN,,0,47,47,47,1,48,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_25.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,0.361,NAN,,NAN,,0,48,48,48,1,49,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_14.jpeg,did not like,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.39,space,0.399,0,0,0,0,1,h,0.3159,,
,,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_27.jpeg,liked,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,0.3886,NAN,,NAN,,0,50,50,50,1,51,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_3.jpeg,did not like,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,0.4691,NAN,,NAN,,0,51,51,51,1,52,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_21.jpeg,did not like,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,0.521,NAN,,NAN,,0,52,52,52,1,53,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_12.jpeg,liked,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,0.6196,NAN,,NAN,,0,53,53,53,1,54,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_20.jpeg,did not like,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,1.2603,space,0.9643,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_15.jpeg,did not like,3.602308302,,,,,,,,,,,,,,
,,,,,,,space,0.4489,NAN,,NAN,,0,55,55,55,1,56,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_22.jpeg,liked,4.106391878,,,,,,,,,,,,,,
,,,,,,,space,0.3994,NAN,,NAN,,0,56,56,56,1,57,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_24.jpeg,did not like,3.799433026,,,,,,,,,,,,,,
,,,,,,,space,0.4208,NAN,,NAN,,0,57,57,57,1,58,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_8.jpeg,did not like,5.246980764,,,,,,,,,,,,,,
,,,,,,,space,0.4495,NAN,,NAN,,0,58,58,58,1,59,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_26.jpeg,did not like,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,2.9436,space,0.9818,0,0,0,0,1,h,1.3446,,
,,,,,,,,,1,,3,,0,59,59,59,1,60,Taylor,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_18.jpeg,did not like,1.661473164,,,,,,,,,,,,,,
,,,,,space,1.0639,space,1.0616,NAN,,NAN,,0,60,60,60,1,61,Alex,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_15.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,1.4175,NAN,,NAN,,0,61,61,61,1,62,Alex,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_8.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,0.4446,NAN,,NAN,,0,62,62,62,1,63,Alex,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_24.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,0.4418,NAN,,NAN,,0,63,63,63,1,64,Alex,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_22.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.541,space,4.6408,0,0,0,0,1,h,1.2121,,
,,,,,,,,,NAN,,NAN,,0,64,64,64,1,65,Alex,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_28.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,0.6057,NAN,,NAN,,0,65,65,65,1,66,Alex,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_5.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,0.3347,NAN,,NAN,,0,66,66,66,1,67,Alex,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_20.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,0.3452,NAN,,NAN,,0,67,67,67,1,68,Alex,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_4.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,0.2873,NAN,,NAN,,0,68,68,68,1,69,Alex,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_1.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,1.3645,space,0.6755,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,69,69,69,1,70,Alex,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_30.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,0.7529,NAN,,NAN,,0,70,70,70,1,71,Alex,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_12.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,0.5937,NAN,,NAN,,0,71,71,71,1,72,Alex,Rej,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_13.jpeg,did not like,2.50187214,,,,,,,,,,,,,,
