endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,8.9589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,10.3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,1.0623,NAN,,NAN,,0,63,63,63,1,64,Charlie,Rej,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_26.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.738,0,0,0,0,1,2.2383,h,1.6929,,
,,,,,,,,NAN,,NAN,,0,64,64,64,1,65,Charlie,Rej,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_4.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,space,1.0105,NAN,,NAN,,0,65,65,65,1,66,Charlie,Rej,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_10.jpeg,did not like,3.79605092,,,,,,,,,,,,,,
,,,,,,space,0.3127,NAN,,NAN,,0,66,66,66,1,67,Charlie,Rej,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_13.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,space,3.3257,NAN,,NAN,,0,67,67,67,1,68,Charlie,Rej,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_2.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
,,,,,,space,0.1418,NAN,,NAN,,0,68,68,68,1,69,Charlie,Rej,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_22.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.8795,0,0,0,0,1,2.7645,h,0.4117,,
,,,,,,,,NAN,,NAN,,0,69,69,69,1,70,Charlie,Rej,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_9.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,space,1.1384,NAN,,NAN,,0,70,70,70,1,71,Charlie,Rej,Participant_Images/630386f64c5bbd56ab1c3b0f/630386f64c5bbd56ab1c3b0f_Images/630386f64c5bbd56ab1c3b0f_Image_16.jpeg,did not like,4.942172136,,,,,,,,,,,,,,
