endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
space,26.0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,30.2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,2.2489,0,0,0,0,1,1.3386,,,
,,,,,,,,4,,1,,0,59,59,59,1,60,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_22.jpeg,liked,1.661473164,,,,,,,,,,,,,
,,,,space,0.7625,space,0.9817,NAN,,NAN,,0,60,60,60,1,61,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_3.jpeg,did not like,3.613205605,,,,,,,,,,,,,
,,,,,,space,0.4894,NAN,,NAN,,0,61,61,61,1,62,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_27.jpeg,liked,4.988446431,,,,,,,,,,,,,
,,,,,,space,0.5331,NAN,,NAN,,0,62,62,62,1,63,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_21.jpeg,liked,3.470791822,,,,,,,,,,,,,
,,,,,,space,0.4734,NAN,,NAN,,0,63,63,63,1,64,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_5.jpeg,liked,3.820572462,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.8756,0,0,0,0,1,1.2618,,,
,,,,,,,,NAN,,NAN,,0,64,64,64,1,65,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_10.jpeg,did not like,2.455989137,,,,,,,,,,,,,
,,,,,,space,0.5405,NAN,,NAN,,0,65,65,65,1,66,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_13.jpeg,did not like,3.79605092,,,,,,,,,,,,,
,,,,,,space,1.0443,NAN,,NAN,,0,66,66,66,1,67,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_23.jpeg,did not like,3.562416326,,,,,,,,,,,,,
,,,,,,space,0.4565,NAN,,NAN,,0,67,67,67,1,68,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_28.jpeg,did not like,2.843822497,,,,,,,,,,,,,
,,,,,,space,0.43,NAN,,NAN,,0,68,68,68,1,69,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_26.jpeg,did not like,3.546495948,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.6405,0,0,0,0,1,0.9121,,,
,,,,,,,,NAN,,NAN,,0,69,69,69,1,70,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_7.jpeg,did not like,1.672012706,,,,,,,,,,,,,
,,,,,,space,0.7755,NAN,,NAN,,0,70,70,70,1,71,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_19.jpeg,liked,4.942172136,,,,,,,,,,,,,
,,,,,,space,0.6341,NAN,,NAN,,0,71,71,71,1,72,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_16.jpeg,liked,2.50187214,,,,,,,,,,,,,
,,,,,,space,0.4663,NAN,,NAN,,0,72,72,72,1,73,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_29.jpeg,liked,2.071164779,,,,,,,,,,,,,
,,,,,,space,0.5826,NAN,,NAN,,0,73,73,73,1,74,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_15.jpeg,did not like,5.336503566,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.5166,0,0,0,0,1,0.9879,,,
,,,,,,,,NAN,,NAN,,0,74,74,74,1,75,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_4.jpeg,did not like,2.642157193,,,,,,,,,,,,,
,,,,,,space,1.0077,NAN,,NAN,,0,75,75,75,1,76,Taylor,Neutral,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_17.jpeg,did not like,4.456234322,,,,,,,,,,,,,
