PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,lotteryguess_keys.keys,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
615a084387075364a7462335,space,13.7783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,16.8092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,2.7919,,space,1.8556,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,74,74,74,1,75,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_18.jpeg,did not like,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,4.6185,NAN,,NAN,,0,75,75,75,1,76,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_13.jpeg,did not like,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,8.0515,NAN,,NAN,,0,76,76,76,1,77,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_22.jpeg,did not like,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,1.3097,NAN,,NAN,,0,77,77,77,1,78,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_17.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,3.5298,NAN,,NAN,,0,78,78,78,1,79,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_5.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,1.4135,,space,8.4606,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,79,79,79,1,80,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_24.jpeg,liked,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,1.2168,NAN,,NAN,,0,80,80,80,1,81,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_28.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,2.7817,NAN,,NAN,,0,81,81,81,1,82,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_25.jpeg,did not like,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,1.7967,NAN,,NAN,,0,82,82,82,1,83,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_9.jpeg,did not like,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,0.9964,NAN,,NAN,,0,83,83,83,1,84,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_14.jpeg,liked,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,2.8331,,space,1.6994,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,84,84,84,1,85,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_1.jpeg,did not like,3.602308302,,,,,,,,,,,,,,
,,,,,,,space,0.5158,NAN,,NAN,,0,85,85,85,1,86,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_26.jpeg,liked,4.106391878,,,,,,,,,,,,,,
