PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
6116f60ae8f48f7d1244e8d3,space,13.3835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,10.8506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_28.jpeg,liked,2.642157193,,,,,,,,,,,,,
,,,,,,,space,0.7407,NAN,,NAN,,0,45,45,45,1,46,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_9.jpeg,did not like,4.456234322,,,,,,,,,,,,,
,,,,,,,space,0.6922,NAN,,NAN,,0,46,46,46,1,47,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_21.jpeg,liked,4.438512181,,,,,,,,,,,,,
,,,,,,,space,0.384,NAN,,NAN,,0,47,47,47,1,48,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_17.jpeg,liked,2.682944783,,,,,,,,,,,,,
,,,,,,,space,0.8762,NAN,,NAN,,0,48,48,48,1,49,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_25.jpeg,liked,4.51984296,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.802,0,0,0,0,1,1.2052,,,
,,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_6.jpeg,liked,3.195382774,,,,,,,,,,,,,
,,,,,,,space,3.1591,NAN,,NAN,,0,50,50,50,1,51,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_1.jpeg,liked,1.779333479,,,,,,,,,,,,,
,,,,,,,space,0.5536,NAN,,NAN,,0,51,51,51,1,52,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_12.jpeg,liked,4.312468682,,,,,,,,,,,,,
,,,,,,,space,4.9124,NAN,,NAN,,0,52,52,52,1,53,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_30.jpeg,liked,4.940433059,,,,,,,,,,,,,
